URL,Lang,Material,RecordNumb,RepCategory,ValidityArea
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5377F',RecordNumb='450571',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5377F,450571,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5377F',RecordNumb='450576',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5377F,450576,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380A',RecordNumb='449910',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5380A,449910,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380A',RecordNumb='451712',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5380A,451712,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380A',RecordNumb='449917',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5380A,449917,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380A',RecordNumb='449915',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5380A,449915,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380A',RecordNumb='449926',Lang='ES',RepCategory='MSDS',ValidityArea='US')/getPDF",ES,AF5380A,449926,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380B',RecordNumb='449910',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5380B,449910,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380B',RecordNumb='451712',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5380B,451712,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380B',RecordNumb='449917',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5380B,449917,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380B',RecordNumb='449915',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5380B,449915,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380B',RecordNumb='449926',Lang='ES',RepCategory='MSDS',ValidityArea='US')/getPDF",ES,AF5380B,449926,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380BC',RecordNumb='449910',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5380BC,449910,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380BC',RecordNumb='451712',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5380BC,451712,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380BC',RecordNumb='449917',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5380BC,449917,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380BC',RecordNumb='449915',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5380BC,449915,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380BC',RecordNumb='449926',Lang='ES',RepCategory='MSDS',ValidityArea='US')/getPDF",ES,AF5380BC,449926,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380E',RecordNumb='449910',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5380E,449910,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380E',RecordNumb='451712',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5380E,451712,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380E',RecordNumb='449917',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5380E,449917,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380E',RecordNumb='449915',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5380E,449915,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380E',RecordNumb='449926',Lang='ES',RepCategory='MSDS',ValidityArea='US')/getPDF",ES,AF5380E,449926,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380EC',RecordNumb='449910',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5380EC,449910,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380EC',RecordNumb='451712',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5380EC,451712,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380EC',RecordNumb='449917',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5380EC,449917,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380EC',RecordNumb='449915',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5380EC,449915,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380EC',RecordNumb='449926',Lang='ES',RepCategory='MSDS',ValidityArea='US')/getPDF",ES,AF5380EC,449926,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380EMX',RecordNumb='449910',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5380EMX,449910,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380EMX',RecordNumb='451712',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5380EMX,451712,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380EMX',RecordNumb='449917',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5380EMX,449917,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380EMX',RecordNumb='449915',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5380EMX,449915,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380EMX',RecordNumb='449926',Lang='ES',RepCategory='MSDS',ValidityArea='US')/getPDF",ES,AF5380EMX,449926,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380FGA',RecordNumb='449910',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5380FGA,449910,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380FGA',RecordNumb='451712',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5380FGA,451712,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380FGA',RecordNumb='449917',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5380FGA,449917,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380FGA',RecordNumb='449915',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5380FGA,449915,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380FGA',RecordNumb='449926',Lang='ES',RepCategory='MSDS',ValidityArea='US')/getPDF",ES,AF5380FGA,449926,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380G',RecordNumb='449910',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5380G,449910,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380G',RecordNumb='451712',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5380G,451712,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380G',RecordNumb='449917',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5380G,449917,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380G',RecordNumb='449915',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5380G,449915,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380G',RecordNumb='449926',Lang='ES',RepCategory='MSDS',ValidityArea='US')/getPDF",ES,AF5380G,449926,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380GC',RecordNumb='449910',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5380GC,449910,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380GC',RecordNumb='451712',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,AF5380GC,451712,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380GC',RecordNumb='449917',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,AF5380GC,449917,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380GC',RecordNumb='449915',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,AF5380GC,449915,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380GC',RecordNumb='449926',Lang='ES',RepCategory='MSDS',ValidityArea='US')/getPDF",ES,AF5380GC,449926,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='AF5380GMX',RecordNumb='449910',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,AF5380GMX,449910,DISC2,ZCAL
